code,Name,yield_basis,data_fill_reason
72350,東京ラヂエーター製造,none,missing_total_div; missing_shares
59940,ファインシンター,none,missing_dps; missing_total_div; missing_shares
60930,エスクロー・エージェント・ジャパン,none,missing_dps; missing_total_div; missing_shares
22060,江崎グリコ,none,missing_dps; missing_total_div; missing_shares
69690,松尾電機,none,missing_dps; missing_total_div; missing_shares
97420,アイネス,none,missing_dps; missing_total_div; missing_shares
75810,サイゼリヤ,none,missing_total_div; missing_shares
49970,日本農薬,none,missing_total_div; missing_shares
72500,太平洋工業,none,missing_total_div; missing_shares
65080,明電舎,none,missing_dps; missing_total_div; missing_shares
52870,イトーヨーギョー,none,missing_dps; missing_total_div; missing_shares
68580,小野測器,none,missing_total_div; missing_shares
