code,Name,yield_basis,effective_yield,non_cut_years_verified,coverage_years,fcf_payout_3y,drop_reason_core,data_quality_flags,manual_check_reason,div_source_used,high_yield_risk,yield_split_mismatch,is_financial,core_pass,in_holdings
42290,群栄化学工業,dps_fallback,0.0198412698412698,True,10,0.4416666666666666,A_non_cut_years; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
74200,佐鳥電機,dps_fallback,0.0459893048128342,True,10,0.4772419136161147,OK,,yield_total_fallback_dps; yf_source_high_yield,yf,False,False,False,True,False
90220,東海旅客鉄道,dps_fallback,0.007345971563981,True,10,0.2500825145352527,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
90570,遠州トラック,dps_fallback,0.026890756302521,True,10,0.34619140625,C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
33260,ランシステム,dps_fallback,0.0,False,2,0.0,data_missing:div_history; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass,div_split_adjusted; div_history_short,yield_total_fallback_dps,yf,False,False,False,False,False
74120,アトム,dps_fallback,0.0,True,10,0.0,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; F_value_pass,,yield_total_fallback_dps,yf,False,False,False,False,False
66350,大日光・エンジニアリング,dps_fallback,0.0169252468265162,True,10,0.0717029449423815,A_non_cut_years; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
68700,日本フェンオール,dps_fallback,0.0377358490566037,True,10,0.3519624573378839,OK,,yield_total_fallback_dps,yf,False,False,False,True,False
22690,明治ホールディングス,dps_fallback,0.0254388196387687,True,10,0.4797980702099855,A_non_cut_years; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
42240,ロンシール工業,dps_fallback,0.034313725490196,True,10,0.3853979652902453,A_non_cut_years,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
71220,近畿車輛,dps_fallback,0.0219106047326906,True,10,0.0597533437554281,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
13810,アクシーズ,dps_fallback,0.0316455696202531,True,10,0.4316441851986876,OK,,yield_total_fallback_dps,yf,False,False,False,True,False
97430,丹青社,dps_fallback,0.0298606502986065,True,10,0.8265352887259395,A_non_cut_years; D_fcf_payout; E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
59710,共和工業所,dps_fallback,0.0107095046854083,True,10,0.7285223367697594,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
94780,ＳＥホールディングス・アンド・インキュベーションズ,dps_fallback,0.0075268817204301,True,10,0.2270992366412213,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
80810,カナデン,dps_fallback,0.0327715355805243,True,10,0.4515667249880706,A_non_cut_years,,yield_total_fallback_dps,yf,False,False,False,False,False
46130,関西ペイント,dps_fallback,0.0199920031987205,True,10,0.3071277200599576,C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
63170,北川鉄工所,dps_fallback,0.0293427230046948,True,10,0.1588820826952526,A_non_cut_years; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
