code,Name,yield_basis,effective_yield,dividend_yield_total_actual,dividend_yield_total_fwd,dividend_yield_fwd_total,dividend_yield_fwd,non_cut_years_verified,fcf_payout_3y,drop_reason_core,drop_reason_satellite,data_quality_flags,manual_check_reason,div_source_used,high_yield_risk,yield_split_mismatch,is_financial,core_pass,satellite_pass,in_holdings
98180,大丸エナウィン,none,,,,0.0150134048257372,0.0150134048257372,10.0,,D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass; yield_below_2pct,shares_missing; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
71300,ヤマエグループホールディングス,none,,,,0.0229132569558101,0.0229132569558101,3.0,0.2789360172537742,A_non_cut_years; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; div_history_short; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
14300,ファーストコーポレーション,none,,,,0.0365853658536585,0.0365853658536585,1.0,0.2606356968215159,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
29990,ホームポジション,dps_fallback,0.021413276231263382,0.021275561580080836,0.021413276231263382,0.0212755615800808,0.0214132762312633,2.0,0.0547210300429184,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,TT_not_all_pass,div_history_short,,yf,False,False,False,False,False,False
17170,明豊ファシリティワークス,none,,,,0.0349048050770625,0.0349048050770625,4.0,,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield; data_missing:fcf_payout,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
24100,キャリアデザインセンター,none,,,,0.038925652004671,0.038925652004671,5.0,0.3106910809214412,D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
65230,ＰＨＣホールディングス,dps_fallback,0.038181818181818185,0.038157891145428655,0.038181818181818185,0.0381578911454286,0.0381818181818181,1.0,0.1582855264730489,A_non_cut_years,TT_not_all_pass,div_history_short,,yf,False,False,False,False,False,False
86980,マネックスグループ,dps_fallback,0.053949129852744304,0.05425868279630188,0.053949129852744304,0.0542586827963018,0.0539491298527443,6.0,,fin_sector_excluded_from_core; F_value_pass; fin:F_value_pass; fin:G_eps_nonpositive; data_missing:fcf_payout,TT_not_all_pass,div_split_adjusted,yf_source_high_yield,yf,False,False,True,False,False,False
14140,ショーボンドホールディングス,dps_fallback,0.11938775510204082,0.11988652970145894,0.11938775510204082,0.1198865297014589,0.1193877551020408,0.0,0.5102874195068321,A_non_cut_years,TT_not_all_pass,div_split_adjusted,high_yield_risk; yf_source_high_yield,yf,True,False,False,False,False,True
93600,鈴与シンワート,none,,,,0.0298013245033112,0.0298013245033112,10.0,0.1613106490233144,E_div_yield; F_value_pass; data_missing:yield,TT_not_all_pass,shares_missing; div_split_adjusted; yield_total_fallback_dps,yield_total_fallback_dps,yf,False,False,False,False,False,False
