code,Name,net_shares_source,shares_check_reason,data_quality_flags,effective_yield
33580,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,missing,shares_missing,shares_missing; div_split_adjusted,
19690,高砂熱学工業,missing,shares_missing,shares_missing; div_split_adjusted,
61450,ＮＩＴＴＯＫＵ,missing,shares_missing,shares_missing,
22150,第一屋製パン,missing,shares_missing,shares_missing; div_history_short,
21120,塩水港精糖,missing,shares_missing,shares_missing,
38770,中越パルプ工業,missing,shares_missing,shares_missing; div_split_adjusted,
22240,コモ,missing,shares_missing,shares_missing,
54630,丸一鋼管,missing,shares_missing,shares_missing; div_split_adjusted,
22200,亀田製菓,missing,shares_missing,shares_missing; div_split_adjusted,
38510,日本一ソフトウェア,missing,shares_missing,shares_missing; div_split_adjusted,
97080,帝国ホテル,missing,shares_missing,shares_missing; div_split_adjusted,
95350,広島ガス,missing,shares_missing,shares_missing,
41890,ＫＨネオケム,missing,shares_missing,shares_missing,
59110,横河ブリッジホールディングス,missing,shares_missing,shares_missing,
72590,アイシン,missing,shares_missing,shares_missing; div_split_adjusted,
75540,幸楽苑,missing,shares_missing,shares_missing; div_split_adjusted,
39500,ザ・パック,missing,shares_missing,shares_missing; div_split_adjusted,
87080,アイザワ証券グループ,missing,shares_missing,shares_missing,
97310,白洋舎,missing,shares_missing,shares_missing; div_split_adjusted,
73540,ダイレクトマーケティングミックス,missing,shares_missing,shares_missing; div_split_adjusted,
34900,アズ企画設計,missing,shares_missing,shares_missing; div_history_short,
63510,鶴見製作所,missing,shares_missing,shares_missing; div_split_adjusted,
81270,ヤマトインターナショナル,missing,shares_missing,shares_missing,
89040,ＡＶＡＮＴＩＡ,missing,shares_missing,shares_missing; div_split_adjusted,
35510,ダイニック,missing,shares_missing,shares_missing; div_split_adjusted,
69550,ＦＤＫ,missing,shares_missing,shares_missing; div_history_short,
78720,エステールホールディングス,missing,shares_missing,shares_missing,
63100,井関農機,missing,shares_missing,shares_missing; div_split_adjusted,
50210,コスモエネルギーホールディングス,missing,shares_missing,shares_missing; div_split_adjusted,
18870,日本国土開発,missing,shares_missing,shares_missing,
46780,秀英予備校,missing,shares_missing,shares_missing,
37410,セック,missing,shares_missing,shares_missing; div_split_adjusted,
33150,日本コークス工業,missing,shares_missing,shares_missing,
73990,ナンシン,missing,shares_missing,shares_missing,
14140,ショーボンドホールディングス,yfinance_corrected,shares_estimate_mismatch,div_split_adjusted; shares_estimate_mismatch,0.03370349365342069
35770,東海染工,missing,shares_missing,shares_missing; div_split_adjusted,
39650,キャピタル・アセット・プランニング,missing,shares_missing,shares_missing; div_split_adjusted,
62890,技研製作所,missing,shares_missing,shares_missing,
87890,フィンテック　グローバル,missing,shares_missing,shares_missing; div_split_adjusted,
